,median_house_value
13096,458300.0
14973,483800.0
3785,101700.0
14689,96100.0
20507,361800.0
1286,92600.0
18078,349300.0
4396,440900.0
18031,160100.0
6753,183900.0
20615,57500.0
11845,134600.0
13056,500001.0
2543,83100.0
14267,252000.0
17941,184000.0
7014,171400.0
11562,350000.0
8961,85700.0
10613,166500.0
13698,176200.0
2237,500001.0
11983,118500.0
5239,191700.0
12020,91400.0
12130,143800.0
20176,198200.0
15812,125000.0
17184,115200.0
3812,112500.0
11189,198900.0
5325,88200.0
20349,190200.0
18110,289300.0
17115,342000.0
13911,477200.0
12104,103800.0
8538,202400.0
2066,319100.0
5858,128500.0
3327,165100.0
12156,173300.0
7626,112600.0
13534,336900.0
10358,117600.0
6449,181300.0
11620,212500.0
1833,173400.0
16969,75900.0
20529,220600.0
17913,420000.0
8955,217700.0
9963,247200.0
1591,113200.0
10266,181700.0
19618,143800.0
18257,239300.0
426,370000.0
13704,209600.0
14533,109400.0
4721,336400.0
17317,94200.0
13499,126800.0
15184,100800.0
1456,80100.0
1539,113800.0
11848,73000.0
13914,364800.0
16996,79800.0
7296,160600.0
19566,354300.0
12834,86900.0
19501,192200.0
6172,265900.0
4694,450000.0
20482,55500.0
1910,107900.0
4790,203200.0
4683,71800.0
10055,106300.0
4839,310000.0
5700,283200.0
14568,500001.0
6841,417600.0
4293,82800.0
6650,102100.0
1746,109900.0
8732,92700.0
2170,225000.0
1266,169300.0
4430,238300.0
10654,319300.0
2855,119100.0
14621,211700.0
468,241200.0
13797,236100.0
17771,322000.0
13253,266400.0
20352,337500.0
14452,85900.0
1169,101900.0
7317,116900.0
8630,218800.0
493,76400.0
15033,156300.0
4831,491200.0
195,213100.0
757,107800.0
4628,100000.0
6398,54200.0
9573,161900.0
14666,137500.0
8197,213800.0
6609,112800.0
1385,210300.0
8200,422000.0
13177,166600.0
10675,486800.0
12013,92300.0
639,259900.0
18048,240000.0
1728,500001.0
5192,336500.0
6059,149000.0
2437,500001.0
1948,99200.0
3312,130800.0
5223,228700.0
20047,153400.0
6052,181500.0
3150,277200.0
3485,96500.0
19478,163100.0
873,53600.0
5994,65200.0
15407,249100.0
148,193200.0
12783,166700.0
12509,225000.0
2831,121500.0
2060,139300.0
17636,239200.0
8353,500001.0
8967,151300.0
18425,65900.0
1518,232700.0
6757,375000.0
8425,67900.0
12836,399300.0
1501,178500.0
17420,190500.0
9496,261500.0
1361,126600.0
17293,192500.0
5686,246900.0
17653,82600.0
6476,308500.0
697,189500.0
1156,59100.0
4494,309100.0
7475,225000.0
10845,150900.0
19033,500001.0
15550,199100.0
5023,500001.0
5266,346700.0
4791,386200.0
14379,185200.0
19036,369200.0
1724,120000.0
4129,339000.0
15557,151600.0
16610,281000.0
19839,452100.0
13922,500001.0
11909,112500.0
2454,174500.0
6032,213000.0
